AGE,GENDER,DRIVING_EXPERIENCE,EDUCATION,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,INCOME,ANNUAL_KM,ID,OUTCOME
65+,female,0-9,high school,1.0,after 2015,0.0,1.0,sedan,0.0,0.0,0.0,above average,19320.0,569520.0,0.0
16-25,male,0-9,none,0.0,before 2015,0.0,0.0,sedan,0.0,0.0,0.0,minmal,25760.0,750365.0,1.0
16-25,female,0-9,high school,1.0,before 2015,0.0,0.0,sedan,0.0,0.0,0.0,below average,17710.0,199901.0,0.0
16-25,male,0-9,university,1.0,before 2015,0.0,1.0,sedan,0.0,0.0,0.0,below average,17710.0,478866.0,0.0
26-39,male,10-19,none,1.0,before 2015,0.0,0.0,sedan,2.0,0.0,1.0,below average,19320.0,731664.0,1.0
40-64,female,20-29,high school,1.0,after 2015,0.0,1.0,sedan,3.0,0.0,3.0,above average,20930.0,877557.0,0.0
65+,male,30+,high school,0.0,after 2015,1.0,1.0,sedan,7.0,0.0,3.0,above average,20930.0,930134.0,0.0
26-39,female,0-9,university,0.0,after 2015,0.0,1.0,sedan,0.0,0.0,0.0,below average,22540.0,461006.0,1.0
40-64,female,20-29,university,0.0,before 2015,1.0,0.0,sedan,0.0,0.0,0.0,below average,20930.0,68366.0,0.0
40-64,female,0-9,high school,1.0,before 2015,0.0,1.0,sedan,0.0,0.0,0.0,above average,17710.0,445911.0,1.0
65+,male,30+,high school,1.0,after 2015,1.0,1.0,sedan,6.0,2.0,7.0,above average,16101.0,275820.0,0.0
65+,female,30+,high school,1.0,after 2015,1.0,0.0,sedan,4.0,0.0,0.0,above average,19320.0,521399.0,0.0
40-64,male,20-29,high school,1.0,before 2015,1.0,1.0,sedan,4.0,1.0,2.0,above average,12880.0,429728.0,0.0
16-25,female,0-9,university,1.0,before 2015,0.0,1.0,sedan,0.0,0.0,0.0,above average,,569640.0,0.0
26-39,male,10-19,high school,1.0,before 2015,1.0,1.0,sedan,0.0,2.0,1.0,average,19320.0,980181.0,0.0
26-39,female,0-9,high school,0.0,after 2015,1.0,0.0,sedan,0.0,0.0,0.0,above average,,906223.0,0.0
